,Title,Year of Release,Duration in min,Genre,Rating,Votes in Views,Gross in Millions,Action,Horror,Drama,Crime,Comedy,Thriller,Sci-Fi,Mystery,Adventure,Biography,war
188,Senna,2010,106,"Documentary, Biography, Sport            ",8.5,382167,353.01,0,0,0,0,0,0,0,0,0,1,0
189,Serbuan maut,2011,101,"Action, Crime, Thriller            ",7.6,84108,10.0,1,0,0,1,0,1,0,0,0,0,0
190,Brick,2005,110,"Action, Crime, Drama            ",7.2,27683,0.05,1,0,1,1,0,0,0,0,0,0,0
191,The Lives of Others,2006,137,"Drama, Mystery, Thriller            ",8.4,413088,46.89,0,0,1,0,0,1,0,1,0,0,0
192,When We Were Kings,1996,88,"Documentary, Sport            ",8.0,136921,52.1,0,0,0,0,0,0,0,0,0,0,0
193,Groundhog Day,1993,101,"Comedy, Drama, Fantasy            ",8.1,83594,16.31,0,0,1,0,1,0,0,0,0,0,0
194,A Quiet Place,2018,90,"Drama, Horror, Sci-Fi            ",7.5,30356,0.96,0,1,1,0,0,0,1,0,0,0,0
195,Unbreakable,2000,106,"Drama, Mystery, Sci-Fi            ",7.3,132578,30.0,0,0,1,0,0,0,1,1,0,0,0
196,Pan's Labyrinth,2006,118,"Drama, Fantasy, War            ",8.2,181272,41.62,0,0,1,0,0,0,0,0,0,0,1
197,Hugo,2011,126,"Adventure, Drama, Family            ",7.5,202981,8.75,0,0,1,0,0,0,0,0,1,0,0
198,Sunshine,2007,107,"Sci-Fi, Thriller            ",7.2,103145,2.24,0,0,0,0,0,1,1,0,0,0,0
199,The King of Kong,2007,79,"Documentary, Biography, Sport            ",8.1,122218,0.79,0,0,0,0,0,0,0,0,0,1,0
200,The People vs. Larry Flynt,1996,130,"Biography, Drama            ",7.3,73924,4.56,0,0,1,0,0,0,0,0,0,1,0
201,Serenity,2005,119,"Action, Adventure, Sci-Fi            ",7.8,349512,25.38,1,0,0,0,0,0,1,0,1,0,0
202,Night of the Living Dead,1968,96,"Horror, Thriller            ",7.8,59405,108.42,0,1,0,0,0,1,0,0,0,0,0
203,Austin Powers: International Man of Mystery,1997,94,"Adventure, Comedy            ",7.0,169793,16.38,0,0,0,0,1,0,0,0,1,0,0
204,28 Weeks Later,2007,100,"Action, Adventure, Horror            ",6.9,325384,177.0,1,1,0,0,0,0,0,0,1,0,0
205,The Thin Blue Line,1988,101,"Documentary, Crime            ",8.0,176110,3.33,0,0,0,1,0,0,0,0,0,0,0
206,Dog Soldiers,2002,105,"Action, Horror, Thriller            ",6.8,26513,6.71,1,1,0,0,0,1,0,0,0,0,0
207,Dead Poets Society,1989,128,"Comedy, Drama            ",8.1,228568,67.29,0,0,1,0,1,0,0,0,0,0,0
208,Get Shorty,1995,105,"Comedy, Crime, Thriller            ",6.9,81698,48.2,0,0,0,1,1,1,0,0,0,0,0
209,Bad Santa,2003,92,"Comedy, Crime, Drama            ",7.1,100726,22.49,0,0,1,1,1,0,0,0,0,0,0
210,Ghostbusters,1984,105,"Action, Comedy, Fantasy            ",7.8,16110,0.86,1,0,0,0,1,0,0,0,0,0,0
211,Donnie Brasco,1997,127,"Biography, Crime, Drama            ",7.7,343239,173.59,0,0,1,1,0,0,0,0,0,1,0
212,Top Gun,1986,110,"Action, Drama            ",6.9,162825,46.96,1,0,1,0,0,0,0,0,0,0,0
213,Chopper,2000,94,"Biography, Crime, Drama            ",7.2,104889,45.95,0,0,1,1,0,0,0,0,0,1,0
214,The Breakfast Club,1985,97,"Comedy, Drama            ",7.8,102660,27.09,0,0,1,0,1,0,0,0,0,0,0
215,Grosse Pointe Blank,1997,107,"Action, Comedy, Crime            ",7.3,48482,0.23,1,0,0,1,1,0,0,0,0,0,0
